horizon,Date,strategy,holdings,max_sector_weight,unique_sectors
20,2024-07-01,all_train,10,0.3,4
20,2024-07-01,lowvol,10,0.3,4
20,2024-07-01,stable_lowvol,10,0.3,4
20,2024-07-01,stable_train,10,0.3,5
20,2024-07-30,all_train,10,0.3,7
20,2024-07-30,lowvol,10,0.3,5
20,2024-07-30,stable_lowvol,10,0.3,5
20,2024-07-30,stable_train,10,0.3,7
20,2024-08-27,all_train,10,0.3,7
20,2024-08-27,lowvol,10,0.2,6
20,2024-08-27,stable_lowvol,10,0.2,6
20,2024-08-27,stable_train,10,0.3,7
20,2024-09-25,all_train,10,0.5,4
20,2024-09-25,lowvol,10,0.2,6
20,2024-09-25,stable_lowvol,10,0.2,6
20,2024-09-25,stable_train,10,0.5,4
20,2024-10-23,all_train,10,0.5,5
20,2024-10-23,lowvol,10,0.4,5
20,2024-10-23,stable_lowvol,10,0.4,5
20,2024-10-23,stable_train,10,0.3,6
20,2024-11-20,all_train,10,0.3,6
20,2024-11-20,lowvol,10,0.5,5
20,2024-11-20,stable_lowvol,10,0.5,5
20,2024-11-20,stable_train,10,0.3,6
20,2024-12-19,all_train,10,0.3,5
20,2024-12-19,lowvol,10,0.6,5
20,2024-12-19,stable_lowvol,10,0.6,5
20,2024-12-19,stable_train,10,0.4,5
20,2025-01-22,all_train,10,0.3,5
20,2025-01-22,lowvol,10,0.3,6
20,2025-01-22,stable_lowvol,10,0.3,6
20,2025-01-22,stable_train,10,0.2,7
20,2025-02-20,all_train,10,0.2,8
20,2025-02-20,lowvol,10,0.2,7
20,2025-02-20,stable_lowvol,10,0.2,7
20,2025-02-20,stable_train,10,0.4,5
20,2025-03-20,all_train,10,0.3,5
20,2025-03-20,lowvol,10,0.2,7
20,2025-03-20,stable_lowvol,10,0.2,7
20,2025-03-20,stable_train,10,0.3,4
20,2025-04-17,all_train,10,0.5,5
20,2025-04-17,lowvol,10,0.5,5
20,2025-04-17,stable_lowvol,10,0.5,5
20,2025-04-17,stable_train,10,0.5,5
20,2025-05-16,all_train,10,0.2,8
20,2025-05-16,lowvol,10,0.5,4
20,2025-05-16,stable_lowvol,10,0.5,4
20,2025-05-16,stable_train,10,0.3,6
20,2025-06-16,all_train,10,0.2,7
20,2025-06-16,lowvol,10,0.5,4
20,2025-06-16,stable_lowvol,10,0.5,4
20,2025-06-16,stable_train,10,0.3,6
20,2025-07-16,all_train,10,0.3,6
20,2025-07-16,lowvol,10,0.9,2
20,2025-07-16,stable_lowvol,10,0.9,2
20,2025-07-16,stable_train,10,0.3,7
20,2025-08-13,all_train,10,0.4,6
20,2025-08-13,lowvol,10,0.7,4
20,2025-08-13,stable_lowvol,10,0.7,4
20,2025-08-13,stable_train,10,0.4,6
20,2025-09-11,all_train,10,0.2,7
20,2025-09-11,lowvol,10,0.8,3
20,2025-09-11,stable_lowvol,10,0.8,3
20,2025-09-11,stable_train,10,0.2,7
20,2025-10-09,all_train,10,0.3,7
20,2025-10-09,lowvol,10,0.4,7
20,2025-10-09,stable_lowvol,10,0.4,7
20,2025-10-09,stable_train,10,0.3,8
20,2025-11-06,all_train,10,0.2,6
20,2025-11-06,lowvol,10,0.7,3
20,2025-11-06,stable_lowvol,10,0.7,3
20,2025-11-06,stable_train,10,0.3,5
20,2025-12-05,all_train,10,0.3,5
20,2025-12-05,lowvol,10,0.6,4
20,2025-12-05,stable_lowvol,10,0.6,4
20,2025-12-05,stable_train,10,0.2,7
20,2026-01-06,all_train,10,0.4,7
20,2026-01-06,lowvol,10,0.8,2
20,2026-01-06,stable_lowvol,10,0.8,2
20,2026-01-06,stable_train,10,0.2,7
20,2026-02-04,all_train,10,0.3,6
20,2026-02-04,lowvol,10,0.8,2
20,2026-02-04,stable_lowvol,10,0.8,2
20,2026-02-04,stable_train,10,0.2,6
20,2026-03-05,all_train,10,0.3,5
20,2026-03-05,lowvol,10,0.9,2
20,2026-03-05,stable_lowvol,10,0.9,2
20,2026-03-05,stable_train,10,0.3,5
20,2026-04-02,all_train,10,0.3,7
20,2026-04-02,lowvol,10,0.7,4
20,2026-04-02,stable_lowvol,10,0.7,4
20,2026-04-02,stable_train,10,0.5,5
20,2026-05-01,all_train,10,0.3,6
20,2026-05-01,lowvol,10,0.5,4
20,2026-05-01,stable_lowvol,10,0.5,4
20,2026-05-01,stable_train,10,0.3,7
60,2024-07-01,all_train,10,0.3,8
60,2024-07-01,lowvol,10,0.3,4
60,2024-07-01,stable_lowvol,10,0.3,4
60,2024-07-01,stable_train,10,0.3,6
60,2024-09-25,all_train,10,0.3,7
60,2024-09-25,lowvol,10,0.2,6
60,2024-09-25,stable_lowvol,10,0.2,6
60,2024-09-25,stable_train,10,0.3,6
60,2024-12-19,all_train,10,0.3,7
60,2024-12-19,lowvol,10,0.6,5
60,2024-12-19,stable_lowvol,10,0.6,5
60,2024-12-19,stable_train,10,0.3,7
60,2025-03-20,all_train,10,0.3,6
60,2025-03-20,lowvol,10,0.2,7
60,2025-03-20,stable_lowvol,10,0.2,7
60,2025-03-20,stable_train,10,0.3,5
60,2025-06-16,all_train,10,0.4,4
60,2025-06-16,lowvol,10,0.5,4
60,2025-06-16,stable_lowvol,10,0.5,4
60,2025-06-16,stable_train,10,0.2,7
60,2025-09-11,all_train,10,0.3,4
60,2025-09-11,lowvol,10,0.8,3
60,2025-09-11,stable_lowvol,10,0.8,3
60,2025-09-11,stable_train,10,0.4,6
60,2025-12-05,all_train,10,0.3,7
60,2025-12-05,lowvol,10,0.6,4
60,2025-12-05,stable_lowvol,10,0.6,4
60,2025-12-05,stable_train,10,0.3,6
60,2026-03-05,all_train,10,0.3,7
60,2026-03-05,lowvol,10,0.9,2
60,2026-03-05,stable_lowvol,10,0.9,2
60,2026-03-05,stable_train,10,0.4,4
120,2024-07-01,all_train,10,0.2,7
120,2024-07-01,lowvol,10,0.3,4
120,2024-07-01,stable_lowvol,10,0.3,4
120,2024-07-01,stable_train,10,0.2,7
120,2024-12-19,all_train,10,0.2,7
120,2024-12-19,lowvol,10,0.6,5
120,2024-12-19,stable_lowvol,10,0.6,5
120,2024-12-19,stable_train,10,0.3,6
120,2025-06-16,all_train,10,0.3,7
120,2025-06-16,lowvol,10,0.5,4
120,2025-06-16,stable_lowvol,10,0.5,4
120,2025-06-16,stable_train,10,0.2,6
120,2025-12-05,all_train,10,0.3,7
120,2025-12-05,lowvol,10,0.6,4
120,2025-12-05,stable_lowvol,10,0.6,4
120,2025-12-05,stable_train,10,0.2,7
