fold,Date,case,fit_rows,train_start,train_end,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
1,2024-07-01,base_excess_lgbm,68453,2017-01-06,2023-12-28,-0.029862633440930663,,,0.0,-0.010123643205474315,-0.010123643205474315,1,-0.029862633440930663,1,347,349,2,0.994269340974212
1,2024-07-01,absolute_target,68453,2017-01-06,2023-12-28,0.01388935661900396,,,1.0,,0.003112383282069478,0,0.01388935661900396,1,347,349,2,0.994269340974212
1,2024-07-01,future_price_target,68453,2017-01-06,2023-12-28,0.07475879480027978,,,1.0,,0.025262473623937843,0,0.07475879480027978,1,347,349,2,0.994269340974212
1,2024-07-01,difference_features,68453,2017-01-06,2023-12-28,0.02494550575221702,,,1.0,,-0.014126431540255564,0,0.02494550575221702,1,347,349,2,0.994269340974212
1,2024-07-01,volume_features,68453,2017-01-06,2023-12-28,-0.008740639132582492,,,0.0,,-0.012433782664833394,0,-0.008740639132582492,1,347,349,2,0.994269340974212
1,2024-07-01,rolling_3y,25577,2021-07-06,2023-12-28,-0.048845387741638886,,,0.0,-0.039611726587663515,-0.039611726587663515,1,-0.048845387741638886,1,347,349,2,0.994269340974212
1,2024-07-01,ranker,68453,2017-01-06,2023-12-28,-0.04706090010552054,,,0.0,-0.03033902416190594,-0.03033902416190594,1,-0.04706090010552054,1,347,349,2,0.994269340974212
1,2024-07-01,elasticnet,68453,2017-01-06,2023-12-28,0.12053944542446172,,,1.0,0.06258608134925035,0.06258608134925035,1,0.12053944542446172,1,347,349,2,0.994269340974212
1,2024-07-01,mlp,68453,2017-01-06,2023-12-28,-0.10300684466810311,,,0.0,,-0.05518406983879273,0,-0.10300684466810311,1,347,349,2,0.994269340974212
1,2024-07-01,cv_direction,68453,2017-01-06,2023-12-28,-0.029862633440930663,,,0.0,-0.010123643205474315,-0.010123643205474315,1,-0.029862633440930663,1,347,349,2,0.994269340974212
2,2024-12-19,base_excess_lgbm,75189,2017-01-06,2024-06-21,0.011795823748963583,,,1.0,0.004046907084395554,0.004046907084395554,1,0.011795823748963583,1,363,363,0,1.0
2,2024-12-19,absolute_target,75189,2017-01-06,2024-06-21,0.028087591938355912,,,1.0,0.016501470311221733,0.016501470311221733,1,0.028087591938355912,1,363,363,0,1.0
2,2024-12-19,future_price_target,75189,2017-01-06,2024-06-21,0.002685589016205512,,,1.0,-0.02260172955355197,-0.02260172955355197,1,0.002685589016205512,1,363,363,0,1.0
2,2024-12-19,difference_features,75189,2017-01-06,2024-06-21,0.05372503534128735,,,1.0,0.0154308754767509,0.0154308754767509,1,0.05372503534128735,1,363,363,0,1.0
2,2024-12-19,volume_features,75189,2017-01-06,2024-06-21,-0.02379351569969687,,,0.0,0.01456089683994758,0.01456089683994758,1,-0.02379351569969687,1,363,363,0,1.0
2,2024-12-19,rolling_3y,27558,2021-12-23,2024-06-21,-0.027222608408737293,,,0.0,-0.03910431219650706,-0.03910431219650706,1,-0.027222608408737293,1,363,363,0,1.0
2,2024-12-19,ranker,75189,2017-01-06,2024-06-21,-0.010020311579919486,,,0.0,0.0014811044406436702,0.0014811044406436702,1,-0.010020311579919486,1,363,363,0,1.0
2,2024-12-19,elasticnet,75189,2017-01-06,2024-06-21,0.004009551473137611,,,1.0,-0.01871873945328534,-0.01871873945328534,1,0.004009551473137611,1,363,363,0,1.0
2,2024-12-19,mlp,75189,2017-01-06,2024-06-21,0.03243040234501812,,,1.0,0.010071599982015378,0.010071599982015378,1,0.03243040234501812,1,363,363,0,1.0
2,2024-12-19,cv_direction,75189,2017-01-06,2024-06-21,0.011795823748963583,,,1.0,0.004046907084395554,0.004046907084395554,1,0.011795823748963583,1,363,363,0,1.0
3,2025-06-16,base_excess_lgbm,82300,2017-01-06,2024-12-11,0.025120934341412438,,,1.0,,-0.01012980256327524,0,0.025120934341412438,1,233,236,3,0.9872881355932204
3,2025-06-16,absolute_target,82300,2017-01-06,2024-12-11,-0.13308912864986663,,,0.0,,-0.06773035877305988,0,-0.13308912864986663,1,233,236,3,0.9872881355932204
3,2025-06-16,future_price_target,82300,2017-01-06,2024-12-11,0.07140385412612793,,,1.0,,0.03622884914930345,0,0.07140385412612793,1,233,236,3,0.9872881355932204
3,2025-06-16,difference_features,82300,2017-01-06,2024-12-11,0.01956382220289253,,,1.0,,-0.0005988874078116796,0,0.01956382220289253,1,233,236,3,0.9872881355932204
3,2025-06-16,volume_features,82300,2017-01-06,2024-12-11,0.0926434886538829,,,1.0,,0.015108448303691985,0,0.0926434886538829,1,233,236,3,0.9872881355932204
3,2025-06-16,rolling_3y,30212,2022-06-16,2024-12-11,-0.018613757409428475,,,0.0,-0.023271664177199433,-0.023271664177199433,1,-0.018613757409428475,1,233,236,3,0.9872881355932204
3,2025-06-16,ranker,82300,2017-01-06,2024-12-11,9.493306577744322e-06,,,1.0,,-0.005555489491956472,0,9.493306577744322e-06,1,233,236,3,0.9872881355932204
