strategy,top_n,n_periods,settled_periods,path_periods,mean_period_return_available,cumulative_return,mdd,annualized_volatility,mdd_15_preference,status
absolute_target,10,4,4,4,0.016759643532481376,0.05915933717471544,-0.17717169284036205,0.17795769101150322,not_met,complete_path
base_excess_lgbm,10,4,4,4,0.013175494208533488,0.04894825587594487,-0.16066703726073173,0.16244625661111506,not_met,complete_path
cv_direction,10,4,4,4,0.013175494208533488,0.04894825587594487,-0.16066703726073173,0.16244625661111506,not_met,complete_path
difference_features,10,4,4,4,0.056522131662546535,0.24374997340651827,-0.1356431783403097,0.13700935887393959,met_observed_path,complete_path
elasticnet,10,4,4,4,0.030477247999197758,0.12128155823735765,-0.14356534906533225,0.16037967092502595,met_observed_path,complete_path
future_price_target,10,4,4,4,0.04128867632193305,0.15558826437342677,-0.17405151025387422,0.16821070065607432,not_met,complete_path
mlp,10,4,3,3,0.004457406090654979,,,,unresolved,incomplete
ranker,10,4,4,4,0.020529086770458695,0.08326697359937918,-0.165181821060276,0.16767760785321795,not_met,complete_path
rolling_3y,10,4,4,4,0.04864067562748206,0.19789105892519876,-0.14905825116914895,0.16046562540025763,met_observed_path,complete_path
volume_features,10,4,4,4,0.06495795004837586,0.2818103283484179,-0.12028229349249453,0.15140011618174595,met_observed_path,complete_path
