year,Date,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage,selected_direction
2020,2020-01-02,0.03128520206733379,,,1.0,,0.01583607137774498,0,0.03128520206733379,1,157,160,3,0.98125,1
2020,2020-01-31,0.14170066784228075,,,1.0,0.0714292794139477,0.0714292794139477,1,0.14170066784228075,1,145,147,2,0.9863945578231292,1
2020,2020-03-02,0.06880683857514244,,,1.0,,0.10280162322653094,0,0.06880683857514244,1,187,189,2,0.9894179894179894,1
2020,2020-03-30,-0.007528279810442158,,,0.0,-0.028953686151709276,-0.028953686151709276,1,-0.007528279810442158,1,200,201,1,0.9950248756218906,1
2020,2020-04-28,-0.03770712398508349,,,0.0,-0.040914133093522216,-0.040914133093522216,1,-0.03770712398508349,1,219,220,1,0.9954545454545455,1
2020,2020-05-27,0.012589828331542718,,,1.0,0.008314534193340072,0.008314534193340072,1,0.012589828331542718,1,179,179,0,1.0,1
2021,2021-01-04,0.10378429649321994,,,1.0,,0.039472758744085866,0,0.10378429649321994,1,204,207,3,0.9855072463768116,1
2021,2021-02-02,0.12299629747778708,,,1.0,,0.029200853440133345,0,0.12299629747778708,1,181,183,2,0.9890710382513661,1
2021,2021-03-03,-0.07626002181471589,,,0.0,,-0.01817220256618831,0,-0.07626002181471589,1,211,213,2,0.9906103286384976,1
2021,2021-03-31,0.16695661846033344,,,1.0,0.057738832702659684,0.057738832702659684,1,0.16695661846033344,1,177,179,2,0.9888268156424581,1
2021,2021-04-29,0.02580300559800093,,,1.0,,-0.004225391982843701,0,0.02580300559800093,1,198,200,2,0.99,1
2021,2021-05-27,0.1134355778362559,,,1.0,0.04074417222721693,0.04074417222721693,1,0.1134355778362559,1,239,240,1,0.9958333333333333,1
2022,2022-01-03,-0.13740628925115891,,,0.0,,-0.06912046656398985,0,-0.13740628925115891,1,201,202,1,0.995049504950495,1
2022,2022-02-01,0.050861247478957525,,,1.0,,-0.009054254501214026,0,0.050861247478957525,1,140,141,1,0.9929078014184397,1
2022,2022-03-02,-0.021246932718029396,,,0.0,,0.008247600612567171,0,-0.021246932718029396,1,154,155,1,0.9935483870967742,1
2022,2022-03-30,-0.10833889066327355,,,0.0,-0.0580099678525481,-0.0580099678525481,1,-0.10833889066327355,1,209,210,1,0.9952380952380953,1
2022,2022-04-28,-0.17378881213284483,,,0.0,,-0.09203174362228164,0,-0.17378881213284483,1,210,213,3,0.9859154929577465,1
2022,2022-05-26,-0.0723066149632233,,,0.0,,-0.026695111496144,0,-0.0723066149632233,1,186,189,3,0.9841269841269841,1
