fold,Date,case,fit_rows,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
1,2024-07-01,micro_base,74134,0.037535558680586036,,,1.0,-0.004252301456347992,-0.004252301456347992,1,0.037535558680586036,1,348,350,2,0.9942857142857143
1,2024-07-01,macro_added,74134,0.024257362875485945,,,1.0,-0.017333529384445476,-0.017333529384445476,1,0.024257362875485945,1,348,350,2,0.9942857142857143
1,2024-07-01,interactions_added,74134,-0.011604839772865196,,,0.0,0.0013580911544064725,0.0013580911544064725,1,-0.011604839772865196,1,348,350,2,0.9942857142857143
2,2024-12-19,micro_base,80890,0.11860622117266535,,,1.0,0.05895443252574345,0.05895443252574345,1,0.11860622117266535,1,364,364,0,1.0
2,2024-12-19,macro_added,80890,-0.009627408751905151,,,0.0,0.007608471462434939,0.007608471462434939,1,-0.009627408751905151,1,364,364,0,1.0
2,2024-12-19,interactions_added,80890,0.14313492967927446,,,1.0,0.05745603629392042,0.05745603629392042,1,0.14313492967927446,1,364,364,0,1.0
3,2025-06-16,micro_base,88026,-0.1351460258356629,,,0.0,,-0.06174715721173109,0,-0.1351460258356629,1,233,236,3,0.9872881355932204
3,2025-06-16,macro_added,88026,-0.10548877677858966,,,0.0,,-0.06267339010436246,0,-0.10548877677858966,1,233,236,3,0.9872881355932204
3,2025-06-16,interactions_added,88026,-0.17346262107126745,,,0.0,,-0.08811486221229527,0,-0.17346262107126745,1,233,236,3,0.9872881355932204
4,2025-12-05,micro_base,95413,0.02873637034503734,,,1.0,,-0.012032011807949383,0,0.02873637034503734,1,251,254,3,0.9881889763779528
4,2025-12-05,macro_added,95413,0.008199123972661449,,,1.0,,-0.018539554270052036,0,0.008199123972661449,1,251,254,3,0.9881889763779528
4,2025-12-05,interactions_added,95413,0.024969095024932265,,,1.0,,-0.005955911780416198,0,0.024969095024932265,1,251,254,3,0.9881889763779528
