Date,Ticker,Sector,risk_rank,stability_group,stable,industry_status,industry_unknown,balanced_verified,balanced_eligible,vol_ann_120d,beta_120d
2016-06-24,A,Health Care,2,Middle,False,MIDDLE,False,False,False,0.24825002,1.2570293
2016-06-24,AABA,Unknown,2,Middle,False,STABLE,False,False,False,0.33901852,1.3117902
2016-06-24,AAL,Unknown,2,Middle,False,MIDDLE,False,False,False,0.37060034,1.5058727
2016-06-24,AAP,Unknown,1,Stable,True,STABLE,False,True,True,0.24702796,0.746802
2016-06-24,AAPL,Information Technology,1,Stable,True,STABLE,False,True,True,0.27318382,1.1276116
2016-06-24,ABBV,Health Care,1,Stable,True,MIDDLE,False,False,False,0.30859256,0.82732195
2016-06-24,ABT,Health Care,1,Stable,True,MIDDLE,False,False,False,0.2759185,1.0422931
2016-06-24,ACN,Information Technology,1,Stable,True,STABLE,False,True,True,0.23623027,1.1791433
2016-06-24,ADBE,Information Technology,2,Middle,False,MIDDLE,False,False,False,0.29775882,1.4136393
2016-06-24,ADI,Information Technology,1,Stable,True,STABLE,False,True,True,0.24228859,1.2011108
2016-06-24,ADM,Consumer Staples,2,Middle,False,RISKY,False,False,False,0.32878676,1.4156556
2016-06-24,ADP,Industrials,1,Stable,True,STABLE,False,True,True,0.17905866,0.9964516
2016-06-24,ADSK,Information Technology,2,Middle,False,MIDDLE,False,False,False,0.389834,1.8226746
2016-06-24,AEE,Utilities,1,Stable,True,STABLE,False,True,True,0.17280544,0.22754386
2016-06-24,AEP,Utilities,1,Stable,True,STABLE,False,True,True,0.17589203,0.30494288
2016-06-24,AES,Utilities,2,Middle,False,MIDDLE,False,False,False,0.31979963,1.2403635
2016-06-24,AET,Unknown,1,Stable,True,STABLE,False,True,True,0.27414283,1.1541536
2016-06-24,AFL,Financials,1,Stable,True,STABLE,False,True,True,0.17286488,0.7947293
2016-06-24,AGN,Unknown,2,Middle,False,STABLE,False,False,False,0.38131553,0.91562873
2016-06-24,AIG,Financials,1,Stable,True,MIDDLE,False,False,False,0.23572607,1.2356358
2016-06-24,AIV,Unknown,1,Stable,True,STABLE,False,True,True,0.22751284,0.7621848
2016-06-24,AIZ,Financials,1,Stable,True,MIDDLE,False,False,False,0.31058994,0.8397244
2016-06-24,AJG,Financials,1,Stable,True,STABLE,False,True,True,0.19019984,0.9226645
2016-06-24,AKAM,Information Technology,2,Middle,False,MIDDLE,False,False,False,0.4607732,1.7469379
2016-06-24,ALK,Unknown,2,Middle,False,MIDDLE,False,False,False,0.3376323,1.3499733
2016-06-24,ALL,Financials,1,Stable,True,STABLE,False,True,True,0.16435616,0.6581918
2016-06-24,ALLE,Industrials,1,Stable,True,MIDDLE,False,False,False,0.25151622,1.2183319
