Sector,actual_risky_n,status,global_recall,sector_refit_recall,delta_recall,global_pr_auc,sector_pr_auc,discordant_pairs,paired_exact_p
Communication Services,9,EXPLORATORY,0.3333333333333333,0.3333333333333333,0.0,0.661060917639865,0.5481284545800675,0,
Consumer Discretionary,39,EXPLORATORY,0.5128205128205128,0.5384615384615384,0.02564102564102566,0.7213258590853018,0.7500758465879466,13,1.0
Consumer Staples,12,EXPLORATORY,0.4166666666666667,0.08333333333333333,-0.33333333333333337,0.5232309502257506,0.33777015842748753,4,0.125
Energy,12,EXPLORATORY,0.25,0.4166666666666667,0.16666666666666669,0.3946410220659946,0.289082715243706,4,0.625
Financials,26,EXPLORATORY,0.5384615384615384,0.15384615384615385,-0.3846153846153846,0.583904215758908,0.4716499876028814,10,0.001953125
Health Care,39,EXPLORATORY,0.358974358974359,0.20512820512820512,-0.15384615384615385,0.5692964635281448,0.4769951314926358,14,0.1795654296875
Industrials,32,EXPLORATORY,0.40625,0.1875,-0.21875,0.48910351063935464,0.39010441539457535,11,0.0654296875
Information Technology,80,CONFIRMATORY,0.725,0.6375,-0.08750000000000002,0.8939083436654783,0.863159040370774,11,0.0654296875
Materials,13,EXPLORATORY,0.5384615384615384,0.6153846153846154,0.07692307692307698,0.6784560753099774,0.7557939889387852,3,1.0
Real Estate,4,EXPLORATORY,0.0,0.0,0.0,0.15249615975422426,0.12704506454506453,0,
Unknown,25,EXPLORATORY,0.56,0.72,0.15999999999999992,0.8408949746223384,0.85342091060738,6,0.21875
Utilities,7,EXPLORATORY,1.0,0.14285714285714285,-0.8571428571428572,0.9999999999999998,0.5831168831168831,6,0.03125
